Date,MaxAltitude
2018-09-13,10
2018-09-14,10
2018-09-15,10
2018-09-16,10
2018-09-17,30
2018-09-18,10
2018-09-19,10
2018-09-20,20
2018-09-21,20
2018-09-22,10
2018-09-23,10
2018-09-24,10
2018-09-25,10
2018-09-26,10
2018-09-27,20
2018-09-28,10
2018-09-29,20
2018-09-30,10
2018-10-01,20
2018-10-02,10
2018-10-03,10
2018-10-04,10
2018-10-05,10
2018-10-06,20
2018-10-07,10
2018-10-08,10
2018-10-09,20
2018-10-10,10
2018-10-11,10
2018-10-12,10
2018-10-13,10
2018-10-14,10
2018-10-15,10
2018-10-16,10
2018-10-17,10
2018-10-18,10
2018-10-19,10
2018-10-20,10
2018-10-21,10
2018-10-22,10
2018-10-23,10
2018-10-24,10
2018-10-25,10
2018-10-26,10
2018-10-27,10
2018-10-28,10
2018-10-29,10
2018-10-30,10
2018-10-31,10
2018-11-01,10
2018-11-02,10
2018-11-03,10
2018-11-04,10
2018-11-05,10
2018-11-06,10
2018-11-07,10
2018-11-08,20
2018-11-09,20
2018-11-10,10
2018-11-11,10
2018-11-12,10
2018-11-13,10
2018-11-14,10
2018-11-15,30
2018-11-16,10
2018-11-17,30
2018-11-18,10
2018-11-19,10
2018-11-20,10
2018-11-21,10
2018-11-22,10
2018-11-23,10
2018-11-24,10
2018-11-25,10
2018-11-26,10
2018-11-27,10
2018-11-28,20
2018-11-29,10
2018-11-30,10
2018-12-01,10
2018-12-02,10
2018-12-03,10
2018-12-04,10
2018-12-05,10
2018-12-06,20
2018-12-07,20
2018-12-08,20
2018-12-09,10
2018-12-10,10
2018-12-11,10
2018-12-12,10
2018-12-13,10
2018-12-14,10
2018-12-15,10
2018-12-16,10
2018-12-17,10
2018-12-18,10
2018-12-19,10
2018-12-20,10
2018-12-21,10
2018-12-22,10
2018-12-23,10
2018-12-24,10
2018-12-25,10
2018-12-26,10
2018-12-27,10
2018-12-28,10
2018-12-29,10
2018-12-30,10
2018-12-31,10
2019-01-01,20
2019-01-02,10
2019-01-03,10
2019-01-04,10
2019-01-05,10
2019-01-06,10
2019-01-07,10
2019-01-08,10
2019-01-09,10
2019-01-10,20
2019-01-11,10
2019-01-12,10
2019-01-13,20
2019-01-14,20
2019-01-15,10
2019-01-16,10
2019-01-17,10
2019-01-18,10
2019-01-19,10
2019-01-20,10
2019-01-21,10
2019-01-22,20
2019-01-23,10
2019-01-24,10
2019-01-25,10
2019-01-26,10
2019-01-27,10
2019-01-28,10
2019-01-29,10
2019-01-30,10
2019-01-31,10
2019-02-01,10
2019-02-02,10
2019-02-03,10
2019-02-04,10
2019-02-05,20
2019-02-06,10
2019-02-07,10
2019-02-08,10
2019-02-09,10
2019-02-10,10
2019-02-11,20
2019-02-12,10
2019-02-13,20
2019-02-14,10
2019-02-15,20
2019-02-16,10
2019-02-17,10
2019-02-18,10
2019-02-19,20
2019-02-20,20
2019-02-21,10
2019-02-22,10
2019-02-23,10
2019-02-24,10
2019-02-25,10
2019-02-26,10
2019-03-10,10
2019-03-11,10
2019-03-12,20
2019-03-13,20
2019-03-14,10
2019-03-15,10
2019-03-16,10
2019-03-17,10
2019-03-18,10
2019-03-19,10
2019-03-20,10
2019-03-21,10
2019-03-22,20
2019-03-23,20
2019-03-24,10
2019-03-25,10
2019-03-26,10
2019-03-27,10
2019-03-28,10
2019-03-29,10
2019-03-30,20
2019-03-31,10
2019-04-01,10
2019-04-02,10
2019-04-03,10
2019-04-04,10
2019-04-05,10
2019-04-06,10
2019-04-07,10
2019-04-08,10
2019-04-09,10
2019-04-10,10
2019-04-11,10
2019-04-12,20
2019-04-13,10
2019-04-14,10
2019-04-15,10
2019-04-16,20
2019-04-17,10
2019-04-18,10
2019-04-19,10
2019-04-20,10
2019-04-21,10
2019-04-22,10
2019-04-23,10
2019-04-24,10
2019-04-25,10
2019-04-26,20
2019-04-27,20
2019-04-28,20
2019-04-29,20
2019-04-30,10
2019-05-01,10
2019-05-02,10
2019-05-03,10
2019-05-04,10
2019-05-05,10
2019-05-06,10
2019-05-07,20
2019-05-08,10
2019-05-09,10
2019-05-10,10
2019-05-11,10
2019-05-12,10
2019-05-13,10
2019-05-14,10
2019-05-15,10
2019-05-16,20
2019-05-17,10
2019-05-18,20
2019-05-19,20
2019-05-20,10
2019-05-21,10
2019-05-22,20
2019-06-13,10
2019-06-14,10
2019-06-15,10
2019-06-16,10
2019-06-17,10
2019-06-18,10
2019-06-19,20
2019-06-20,20
2019-06-21,10
2019-06-22,10
2019-06-23,10
2019-06-24,20
2019-06-25,10
2019-06-26,10
2019-06-27,10
2019-06-28,10
2019-06-29,10
2019-06-30,10
2019-07-01,10
2019-07-02,10
2019-07-03,10
2019-07-04,20
2019-07-05,10
2019-07-06,10
2019-07-07,10
2019-07-08,10
2019-07-09,10
2019-07-10,10
2019-07-11,10
2019-07-12,10
2019-07-13,10
2019-07-14,10
2019-07-15,20
2019-07-16,10
2019-07-17,10
2019-07-18,10
2019-07-19,10
2019-07-20,10
2019-07-21,10
2019-07-22,10
2019-07-23,10
2019-07-24,10
2019-07-25,10
2019-07-26,10
2019-07-27,10
2019-07-28,10
2019-07-29,10
2019-07-30,10
2019-07-31,10
2019-08-01,10
2019-08-02,10
2019-08-03,10
2019-08-04,10
2019-08-05,10
2019-08-06,20
2019-08-07,10
2019-08-08,10
2019-08-09,10
2019-08-10,20
2019-08-11,20
2019-08-12,10
2019-08-13,10
2019-08-14,30
2019-08-15,10
2019-08-16,10
2019-08-17,10
2019-08-18,10
2019-08-19,20
2019-08-20,10
2019-08-21,10
2019-08-22,10
2019-08-23,10
2019-08-24,10
2019-08-25,20
2019-08-26,10
2019-08-27,10
2019-08-28,10
2019-08-29,10
2019-08-30,10
2019-08-31,10
2019-09-01,10
2019-09-02,10
2019-09-03,20
2019-09-04,10
2019-09-05,10
